fixture_id,width,height,phase,operation,recipe_index,measured_count,min_ms,p50_ms,p95_ms,p99_ms,max_ms,p95_target_ms,p95_target_met
private-X-T3-DNG,6240,4160,warm_service,white_balance,0,100,115.68308300000001,118.736417,121.892375,128.883084,133.54354099999998,250,True
private-X-T3-DNG,6240,4160,kernel,contrast,0,100,11.083124999999999,11.425125,11.686416,11.749542,11.787416,100,True
private-X-T3-DNG,6240,4160,warm_service,contrast,0,100,125.49512500000002,127.999166,131.997959,136.503625,140.79133399999998,250,True
private-X-T3-DNG,6240,4160,kernel,highlights,0,100,8.290000000000001,8.502958,8.632124999999998,8.658208,8.71425,100,True
private-X-T3-DNG,6240,4160,warm_service,highlights,0,100,122.263333,125.50220800000001,134.81125,140.75424999999998,273.08074999999997,250,True
private-X-T3-DNG,6240,4160,kernel,shadows,0,100,8.248834,8.347042,8.671834,8.700167,8.707166,100,True
private-X-T3-DNG,6240,4160,warm_service,shadows,0,100,123.596042,125.85445800000001,131.922416,135.944208,137.82404200000002,250,True
private-X-T3-DNG,6240,4160,kernel,saturation,0,100,8.152875,8.266625,8.513292,8.620333,8.642875,100,True
private-X-T3-DNG,6240,4160,warm_service,saturation,0,100,120.89825,125.439791,132.607625,143.80537500000003,341.701125,250,True
private-X-T3-DNG,6240,4160,kernel,vibrance,0,100,8.162749999999999,8.39025,8.575667000000001,8.671708,8.796792,100,True
private-X-T3-DNG,6240,4160,warm_service,vibrance,0,100,122.337,124.87537499999999,129.893917,135.839,137.618,250,True
private-X-T3-DNG,6240,4160,kernel,sharpening,0,100,16.438833,16.787208,17.065,17.298458999999998,17.362958000000003,100,True
private-X-T3-DNG,6240,4160,warm_service,sharpening,0,100,132.333417,136.580208,145.55279199999998,164.868708,248.56125,250,True
private-X-T3-DNG,6240,4160,kernel,luminance_noise,0,100,20.212958,20.549417000000002,20.817415999999998,21.022,21.151291999999998,100,True
private-X-T3-DNG,6240,4160,warm_service,luminance_noise,0,100,133.642291,136.7825,140.8485,150.59212499999998,158.620291,250,True
private-X-T3-DNG,6240,4160,kernel,chroma_noise,0,100,20.287166,20.716833,20.942625,20.982375,21.044791,100,True
private-X-T3-DNG,6240,4160,warm_service,chroma_noise,0,100,134.2985,137.688334,144.979792,151.0675,156.564333,250,True
private-X-T3-DNG,6240,4160,kernel,combined,0,100,54.078167,55.448625,55.992374999999996,56.191792,56.354875,100,True
private-X-T3-DNG,6240,4160,warm_service,combined,0,100,168.292375,172.30579100000003,179.04566699999998,191.94275,346.134167,250,True
private-X-T3-DNG,6240,4160,full,combined,0,20,748.9906659999999,757.887917,798.811542,801.801708,801.801708,5000,True
private-L1D-20c-DNG,5464,3640,kernel,neutral,0,100,2.325083,2.399125,2.96675,3.058917,3.0760829999999997,100,True
private-L1D-20c-DNG,5464,3640,kernel,crop,0,100,2.7320830000000003,2.8024999999999998,2.89925,2.93975,2.9918750000000003,100,True
private-L1D-20c-DNG,5464,3640,warm_service,crop,0,100,109.301167,113.97270900000001,117.183875,125.003167,126.877084,250,True
private-L1D-20c-DNG,5464,3640,kernel,straighten,0,100,10.267042,10.465957999999999,10.608625,10.704334,10.776625,100,True
private-L1D-20c-DNG,5464,3640,warm_service,straighten,0,100,122.933,130.273125,134.672125,145.216292,357.67225,250,True
private-L1D-20c-DNG,5464,3640,kernel,exposure,0,100,8.07925,8.269709,8.370916000000001,8.391667,8.407333,100,True
private-L1D-20c-DNG,5464,3640,warm_service,exposure,0,100,119.655625,125.70858300000002,129.669542,134.67991700000002,138.94316600000002,250,True
